,Title,Author,Average Rating,No of ratings,No of reviews,No of pages,No of awards,summary,Genre
0,Lord of Chaos,Robert Jordan,4.14,"144,560","3,375",NA,2,"In this sequel to the phenomenal New York Times bestseller The Fires of Heaven, we plunge again into Robert Jordan's extraordinarily rich, totally unforgettable world:

On the slopes of Shayol Ghul, the Myrddraal swords are forged, and the sky is not the sky of this world ...

In Salidar the White Tower in exile prepares an embassy to Caemlyn, where Rand Al'Thor, the Dragon Re In this sequel to the phenomenal New York Times bestseller The Fires of Heaven, we plunge again into Robert Jordan's extraordinarily rich, totally unforgettable world:

On the slopes of Shayol Ghul, the Myrddraal swords are forged, and the sky is not the sky of this world ...

In Salidar the White Tower in exile prepares an embassy to Caemlyn, where Rand Al'Thor, the Dragon Reborn, holds the throne -- and where an unexpected visitor may change the world ...

In Emond's Field, Perrin Goldeneyes, Lord of the Two Rivers, feels the pull of ta'veren to ta'veren and prepares to march ...

Morgase of Caemlyn finds a most unexpected, and quite unwelcome, ally ...

And south lies Illian, where Sammael holds sway ...",fantasy
1,The Zero Game,Brad Meltzer,3.91,"12,503",484,867,0,"The New York Times bestselling author of The Millionaires and The First Counsel returns to Washington, D.C., with the story of an insider's game that turns deadly.

Matthew Mercer and Harris Sandler are best friends who have plum jobs as senior staffers to well-respected congressmen. But after a decade in Washington, idealism has faded to disillusionment, and they're bored. The New York Times bestselling author of The Millionaires and The First Counsel returns to Washington, D.C., with the story of an insider's game that turns deadly.

Matthew Mercer and Harris Sandler are best friends who have plum jobs as senior staffers to well-respected congressmen. But after a decade in Washington, idealism has faded to disillusionment, and they're bored. Then one of them finds out about the clandestine Zero Game. It starts out as good fun--a simple wager between friends. But when someone close to them ends up dead, Harris and Matthew realize the game is far more sinister than they ever imagined--and that they're about to be the game's next victims.

On the run, they turn to the only person they can trust: a 16-year-old Senate page who can move around the Capitol undetected. As a ruthless killer creeps closer, this idealistic page not only holds the key to saving their lives, but is also determined to redeem them in the process.

Come play The Zero Game-you can bet your life on it.",fiction
2,The Divine Wind,Garry Disher,3.06,592,64,NA,1,"On the eve of WWII, suspicion runs rampant in Hartley Penrose's small town. Even though they've done nothing wrong, the town is turning against its native Japanese residents - including Mitsy Sennosuke, the girl Hart loves despite himself. The result is a wrenching, unforgettable story of romance, betrayal, and the turmoils that rock both the world and the heart. On the eve of WWII, suspicion runs rampant in Hartley Penrose's small town. Even though they've done nothing wrong, the town is turning against its native Japanese residents - including Mitsy Sennosuke, the girl Hart loves despite himself. The result is a wrenching, unforgettable story of romance, betrayal, and the turmoils that rock both the world and the heart.",young-adult
3,Deception,Denise Mina,3.75,"5,325",241,196,0,"Things like this don't happen to people like us. That's what Lachlan Harriot thinks as he watches his wife, Susie, led to jail in handcuffs. Yes, Susie, a psychologist, was found covered in blood near the spot where one of her clients appears to have been murdered. But Susie is not a killer, Lachlan thinks. She's my wife. She's our child's mother. Secrets lurk behind close Things like this don't happen to people like us. That's what Lachlan Harriot thinks as he watches his wife, Susie, led to jail in handcuffs. Yes, Susie, a psychologist, was found covered in blood near the spot where one of her clients appears to have been murdered. But Susie is not a killer, Lachlan thinks. She's my wife. She's our child's mother. Secrets lurk behind closed doors, however, a dark truth made chillingly clear as Lachlan's efforts to prove Susie's innocence uncover an entire secret history -- illicit affairs, false identities, unimaginable deception -- and this brilliantly acclaimed, page-turning novel speeds toward a conclusion as shocking as it is ingenious.",mystery
4,Grandmere: A Personal History of Eleanor Roosevelt,David B. Roosevelt Manuela Dunn-Mascetti,3.94,128,25,NA,0,"Now in paperback, Eleanor Roosvelt's grandson offers a unique look at one of the most beloved first ladies of the 20th century. Now in paperback, Eleanor Roosvelt's grandson offers a unique look at one of the most beloved first ladies of the 20th century.",biography
5,You or Someone Like You,Chandler Burr,3.15,729,215,980,0,"âChandler Burrâs challenging first novel is many things: a glimpse into Hollywood culture, an argument about religious identity, a plea for the necessity of literature. This is a roman that needs no clefs.â âWashington Post

Â

New York Magazine calls You or Someone Like You, âThe highbrow humanist name-dropping book of the summer.â The remarkable first novel by Chandler Burr, âChandler Burrâs challenging first novel is many things: a glimpse into Hollywood culture, an argument about religious identity, a plea for the necessity of literature. This is a roman that needs no clefs.â âWashington Post

Â

New York Magazine calls You or Someone Like You, âThe highbrow humanist name-dropping book of the summer.â The remarkable first novel by Chandler Burr, the New York Times scent critic and author of The Perfect Scent, is funny, smart, and provocativeâan extraordinarily ambitious work of fiction that succeeds on many different levels. It is a book David Ebershoff, (author of The 19th Wife) enthusiastically recommends âfor anyone who defiantly clings to the belief that a book can change our lives.â",fiction
6,Shiver,Lisa Jackson,4.09,"9,433",429,173,0,"The Crimes Are Unthinkable

A serial killer is turning the Big Easy into his personal playground. The victims are killed in pairs--no connection, no apparent motive, no real clues. It's a very sick game, and it's only just begun.

The Fear Is Real

Abby Chastain left New Orleans long ago and for good reason. Now she's back where she feels watched, as if the devil himself is scra The Crimes Are Unthinkable

A serial killer is turning the Big Easy into his personal playground. The victims are killed in pairs--no connection, no apparent motive, no real clues. It's a very sick game, and it's only just begun.

The Fear Is Real

Abby Chastain left New Orleans long ago and for good reason. Now she's back where she feels watched, as if the devil himself is scraping a fingernail along her spine. It doesn't help that Detective Reuben Montoya is convinced she's somehow the key to unlocking these horrible crimes--a mystery that has something to do with Our Lady of Virtues Mental Hospital, a decaying old asylum where unspeakable crimes were once committed, and a human predator may still wait.

The Truth Is Deadly

As more bodies are found in gruesome, staged scenarios, Montoya and Abby are in a desperate race to stop a killer whose terrifying crimes are bringing them ever nearer to a shocking revelation. For the past is never completely gone. Its sins must be avenged. And a twisted psychopath is getting close enough to make them. . .

Shiver",mystery
7,Back Roads,Tawni O'Dell,3.75,"25,468","1,149",201,0,"Harley Altmyer should be in college drinking Rolling Rock and chasing girls. He should be freed from his closed-minded, stricken coal town, with its lack of jobs and no sense of humor. Instead, he's constantly reminded of just how messed up his life is.

With his mother in jail for killing his abusive father, Harley is an orphan with the responsibilities of an adult and the Harley Altmyer should be in college drinking Rolling Rock and chasing girls. He should be freed from his closed-minded, stricken coal town, with its lack of jobs and no sense of humor. Instead, he's constantly reminded of just how messed up his life is.

With his mother in jail for killing his abusive father, Harley is an orphan with the responsibilities of an adult and the fiery, aggressive libido of a teenager. Just nineteen years old, he's marooned in the Pennsylvania backwoods caring for his three younger sisters, whose feelings about him range from stifling dependence to loathing. And once he develops an obsession with the sexy, melancholic mother of two living down the road, those Victoria's Secret catalogs just won't do the trick anymore. He wants Callie Mercer so badly he fears he will explode. But it's the family secrets, the lies, and the unspoken truths that light the fuse and erupt into a series of staggering surprises, leaving what's left of his family in tatters. Through every ordeal, the unforgettable Harley could never know that his endearing humor, his love for his sisters, and his bumbling heroics would redeem them all.

Funny and heartbreaking, Tawni O'Dell's pitch-perfect characters capture the maddening confusion of adolescence and the prickly nature of family with irony and unerring honesty. Back Roads is a riveting novel by a formidable new talent.

""One day you're that guy who's happy he managed to survive high school and get that almighty piece of paper, and you're thinking you might try to get a job at Redi-Mix concrete where your dad's worked since the beginning of time. And at least you've got a family you can stand even if they are all sisters.",fiction
8,The Interpretation of Murder,Jed Rubenfeld,3.61,"16,527","1,360",992,1,"In this ingenious, suspenseful historical thriller, Sigmund Freud is drawn into the mind of a sadistic killer who is savagely attacking Manhattanâs wealthiest heiresses

Inspired by Sigmund Freudâs only visit to America, The Interpretation of Murder is an intricate tale of murder and the mindâs most dangerous mysteries. It unfurls on a sweltering August evening in 1909 as F In this ingenious, suspenseful historical thriller, Sigmund Freud is drawn into the mind of a sadistic killer who is savagely attacking Manhattanâs wealthiest heiresses

Inspired by Sigmund Freudâs only visit to America, The Interpretation of Murder is an intricate tale of murder and the mindâs most dangerous mysteries. It unfurls on a sweltering August evening in 1909 as Freud disembarks from the steamship George Washington, accompanied by Carl Jung, his rival and protÃ©gÃ©. Across town, in an opulent apartment high above the city, a stunning young woman is found dangling from a chandelierâwhipped, mutilated, and strangled. The next day, a second beautyâa rebellious heiress who scorns both high society and her less adventurous parentsâbarely escapes the killer. Yet Nora Acton, suffering from hysteria, can recall nothing of her attack. Asked to help her, Dr. Stratham Younger, Americaâs most committed Freudian analyst, calls in his idol, the Master himself, to guide him through the challenges of analyzing this high-spirited young woman whose family past has been as complicated as his own.

The Interpretation of Murder leads readers from the salons of Gramercy Park, through secret passages, to Chinatownâeven far below the currents of the East River where laborers are building the Manhattan Bridge. As Freud fends off a mysterious conspiracy to destroy him, Younger is drawn into an equally thrilling adventure that takes him deep into the subterfuges of the human mind.

Richly satisfying, elegantly crafted, The Interpretation of Murder marks the debut of a brilliant, spectacularly entertaining new storyteller.


In 2007 The Interpretation of Murder won the prestigious Best Read of the Year award from Richard and Judy's Bookclub in the UK (comparable to Oprah Winfrey in the USA).",fiction
9,The Game,A.S. Byatt,3.23,"1,092",127,NA,0,"The Game is a lush and disturbing novel portraying a sibling rivalry which compels the reader to reconsider the uses and misuses of imagination. when they were little girls, Cassandra and Julia played a game in which they entered an alternate world modeled on the landscapes of Arthurian romance. Now the sisters are grown, and hostile strangersâuntil a figure from their pas The Game is a lush and disturbing novel portraying a sibling rivalry which compels the reader to reconsider the uses and misuses of imagination. when they were little girls, Cassandra and Julia played a game in which they entered an alternate world modeled on the landscapes of Arthurian romance. Now the sisters are grown, and hostile strangersâuntil a figure from their past, a man they once both loved and suffered over, reenters their lives.",fiction
