,Title,Author,Average Rating,No of ratings,No of reviews,No of pages,No of awards,summary,Genre
10,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Miley Cyrus,3.60,361,2,NA,0,"This is a book of musical scores


Our deluxe songbook matches the soundtrack CD from the wildly popular concert film, presented in Disney Digital 3-D. Features great photos from the movie, and 14 tunes: The Best of Both Worlds * East Northumberland High * G.N.O. (Girl's Night Out) * Good and Broken * I Got Nerve * Just like You * Let's Dance * Life's What You Make It * Nobod This is a book of musical scores


Our deluxe songbook matches the soundtrack CD from the wildly popular concert film, presented in Disney Digital 3-D. Features great photos from the movie, and 14 tunes: The Best of Both Worlds * East Northumberland High * G.N.O. (Girl's Night Out) * Good and Broken * I Got Nerve * Just like You * Let's Dance * Life's What You Make It * Nobody's Perfect * Pumpin' Up the Party * Rock Star * See You Again * Start All Over * We Got the Party.",media-tie-in
11,The Shack,William Paul Young,3.79,"583,030","33,947",450,1,"Mackenzie Allen Philips' youngest daughter, Missy, has been abducted during a family vacation and evidence that she may have been brutally murdered is found in an abandoned shack deep in the Oregon wilderness. Four years later in the midst of his Great Sadness, Mack receives a suspicious note, apparently from God, inviting him back to that shack for a weekend. Against his Mackenzie Allen Philips' youngest daughter, Missy, has been abducted during a family vacation and evidence that she may have been brutally murdered is found in an abandoned shack deep in the Oregon wilderness. Four years later in the midst of his Great Sadness, Mack receives a suspicious note, apparently from God, inviting him back to that shack for a weekend. Against his better judgment he arrives at the shack on a wintry afternoon and walks back into his darkest nightmare. What he finds there will change Mack's world forever.

In a world where religion seems to grow increasingly irrelevant The Shack wrestles with the timeless question, ""Where is God in a world so filled with unspeakable pain?"" The answers Mack gets will astound you and perhaps transform you as much as it did him. You'll want everyone you know to read this book!",fiction
12,"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",The Church of Jesus Christ of Latter-day Saints,4.35,"26,721",769,We,0,"The Book of Mormon contains the writings of men who lived upon the American continent approximately 600 B.C to 400 A.D. They are written to testify of the divinity of Jesus Christ. The Doctrine & Covenants are revelations given to Joseph Smith, Jr. and other prophets & presidents of the Church mostly pertaining to the present day. The Pearl of Great Price contains the tran The Book of Mormon contains the writings of men who lived upon the American continent approximately 600 B.C to 400 A.D. They are written to testify of the divinity of Jesus Christ. The Doctrine & Covenants are revelations given to Joseph Smith, Jr. and other prophets & presidents of the Church mostly pertaining to the present day. The Pearl of Great Price contains the translations by Joseph Smith, Jr. of some ancient papyri that give us more writings of Abraham & Moses,extracts from Joseph's translation of Matthew,a portion of his own history, and The Articles of Faith of the Church. Pagination is as follows (excluding introductory material for each volume): the Book of Mormon, 535 pages; the Doctrine and Covenants, 298 pages; the Pearl of Great Price, 61 pages; and the index, 416 pages.",religion
13,Hannah Montana 2/Meet Miley Cyrus,Miley Cyrus,4.07,518,30,NA,0,"(Piano/Vocal/Guitar Songbook). Matching folio to the 2-disc set featuring 10 all new Hannah Montana songs from the #1-rated Disney Channel series, as well as 10 brand-new original songs by Miley Cyrus! Titles include: Bigger Than Us * Clear * East Northumberland High * G.N.O. (Girl's Night Out) * I Miss You * Life's What You Make It * Nobody's Perfect * One in a Million * (Piano/Vocal/Guitar Songbook). Matching folio to the 2-disc set featuring 10 all new Hannah Montana songs from the #1-rated Disney Channel series, as well as 10 brand-new original songs by Miley Cyrus! Titles include: Bigger Than Us * Clear * East Northumberland High * G.N.O. (Girl's Night Out) * I Miss You * Life's What You Make It * Nobody's Perfect * One in a Million * Rock Star * See You Again * Start All Over * We Got the Party * and more.",music
14,The No Spin Zone: Confrontations with the Powerful and Famous in America,Bill O'Reilly James Ellroy,3.24,"1,763",83,190,0,"â[O'Reilly] is the real McCoy. He's the best reporter I've seen in yearsâ¦He's smart, well-read, has good valuesâ¦and he is fearless in picking targets.â
âNewsday

Bill O'Reilly is even madder today than when he wrote his last book, The O'Reilly Factor, and his fans love him even more. He's mad because things have gone from bad to worse in politics, in Hollywood, in every socia â[O'Reilly] is the real McCoy. He's the best reporter I've seen in yearsâ¦He's smart, well-read, has good valuesâ¦and he is fearless in picking targets.â
âNewsday

Bill O'Reilly is even madder today than when he wrote his last book, The O'Reilly Factor, and his fans love him even more. He's mad because things have gone from bad to worse in politics, in Hollywood, in every social stratum of the nation. True to its title, The No Spin Zone cuts through all the rhetoric that some of O'Reilly's most infamous guests have spewed to expose what's really on their minds, while sharing plenty of his own emphatic counterpoints along the way.

Shining a searing spotlight on public figures from President George W. Bush and Senator Hillary Clinton to the Reverends Jesse Jackson and Al Sharpton to his former CBS News colleague Dan Rather, The No Spin Zone is laced with the kind of straight-shooting commentary that had made O'Reilly the voice of middle America's disenfranchised.

âThis explosive anchor can be articulate, bombastic, scornful, witty, iconoclastic, passionate, persuasive, and sarcastic.â
âPublisher's Weekly

â[O'Reilly's] brand of hard-nosed, regular-guy TV talk is here to stay.â
âNewsweek

â[The No Spin Zone] vibrates with O'Reilly's gruff Irish wit and elbows-on-the-bar social criticism.â
âAtlanta Journal-Constitution

A twenty-year veteran of the television industry, Bill O'Reilly has won two Emmy awards for excellence in reporting. He served as national correspondent for ABC News and as anchor of the nationally syndicated Inside Edition. A graduate of Marist College, he holds two master's degrees, on in public administration from Harvard and another in broadcast journalism from Boston University. He lives on Long Island with his wife and their daughter.

James Ellroy, who contributes an Afterword to The No Spin Zone, is a famed novelist and journalist who profiled Bill O'Reilly for the magazine GQ.",politics
15,An Inconvenient Book: Real Solutions to the World's Biggest Problems,Glenn Beck Kevin Balfe Steve Burguiere Dan Andros Paul Starke Virginia Leahy Evan Cutler Patricia Balfe Carol Lynne,3.75,"3,966",516,NA,0,"The world is a mess - Iran is developing nuclear capabilities, obesity is reaching epidemic proortions, the divorce rate is rising faster than petrol prices. The solutions to these problems aren't convenient, but radio and TV host Glenn Beck doesn't care about being convenient. The world is a mess - Iran is developing nuclear capabilities, obesity is reaching epidemic proortions, the divorce rate is rising faster than petrol prices. The solutions to these problems aren't convenient, but radio and TV host Glenn Beck doesn't care about being convenient.",politics
16,Let Freedom Ring: Winning the War of Liberty over Liberalism,Sean Hannity,3.43,"1,497",56,We,0,"As Americans, we face two fundamental questions:

First, are we truly prepared to fight this new war to wipe out terrorism and terrorist regimes, and win it decisivelyâno matter what sacrifices it requires or how long it takes?

Second, are we once again prepared to teach our children the fundamental principles and values that make this country greatâthe values that make this As Americans, we face two fundamental questions:

First, are we truly prepared to fight this new war to wipe out terrorism and terrorist regimes, and win it decisivelyâno matter what sacrifices it requires or how long it takes?

Second, are we once again prepared to teach our children the fundamental principles and values that make this country greatâthe values that make this country worth fighting for, living for, and dying for?


Sean Hannity is the hottest new phenomenon in TV and talk radio today. His gutsy, take-no-prisoners interviews and commentary on the Fox News Channel's Hannity & Colmes have made him one of cable television's most popular personalities. And his ascendance to the top of the talk radio world with ABC Radio's The Sean Hannity Show has won him a huge and devoted following that includes not only conservatives but anyone else who values straight talk over pandering and excuses.

Now, in Let Freedom Ring, Sean Hannity offers a survey of the worldâpolitical, social, and culturalâas he sees it. Devoting special attention to 9/11, the war on terror, and the continuing threat we face at home and abroad, he makes clear that the greatest challenge we have to overcome may not be an attack from overseas, but the slow compromising of our national character. And he asks why, particularly in this time of war, should we entrust our future to the voices of the Leftâthe very people who have spent decades ravaging so many of our core values and traditions?

Our nation, as Hannity reminds us, was founded on the idea of freedom. And in order to protect our freedoms, he argues, we must stand vigilant against liberal attempts to compromise our strengths. From our military and intelligence forces, to our borders and airports, to our unified commitment to root out terrorists at home and abroad, he reveals how our strongest lines of defense have come under attackâby left-wing voices within our government, media, schools, and elsewhere. And he shows how even domestic issues like taxation, education, patriotism, and the family have been exploited by liberals with their own agendasâwith potentially disastrous results.

Filled with the commonsense commentary and passionate argument that have made Sean Hannity the most compelling conservative voice since Rush Limbaugh, Let Freedom Ring is an urgent call to arms. For, as Hannity warns, ""We are engaged in a war of ideas. And civilization is at stake.""",politics
17,,,NA,NA,NA,NA,0,,NA
18,Evermore,Alyson Noel,3.59,"284,821","9,985",301,2,"The first book in Alyson NoÃ«l's extraordinary new Immortals series. Enter an enchanting new world, where true love never dies...

After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her a The first book in Alyson NoÃ«l's extraordinary new Immortals series. Enter an enchanting new world, where true love never dies...

After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her abilities, she has been branded a freak at her new high schoolâbut everything changes when she meets Damen Auguste.

Damen is gorgeous, exotic and wealthy. He's the only one who can silence the noise and random energy in her headâwielding a magic so intense, it's as though he can peer straight into her soul. As Ever is drawn deeper into his enticing world of secrets and mystery, she's left with more questions than answers. And she has no idea just who he really isâor what he is. The only thing she knows to be true is that she's falling deeply and helplessly in love with him.",young-adult
19,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3.78,"161,091","5,587",375,1,"The Audacity of Hope is Barack Obama's call for a new kind of politicsâa politics that builds upon those shared understandings that pull us together as Americans. Lucid in his vision of America's place in the world, refreshingly candid about his family life and his time in the Senate, Obama here sets out his political convictions and inspires us to trust in the dogged opti The Audacity of Hope is Barack Obama's call for a new kind of politicsâa politics that builds upon those shared understandings that pull us together as Americans. Lucid in his vision of America's place in the world, refreshingly candid about his family life and his time in the Senate, Obama here sets out his political convictions and inspires us to trust in the dogged optimism that has long defined us and that is our best hope going forward.",non-fiction
20,The Short Second Life of Bree Tanner,Stephenie Meyer,3.51,"200,229","11,344",178,1,"FANS OF THE TWILIGHT SAGA WILL BE ENTHRALLED BY THIS RIVETING STORY OF BREE TANNER, A CHARACTER FIRST INTRODUCED IN ECLIPSE, AND THE DARKER SIDE OF THE NEWBORN VAMPIRE WORLD SHE INHABITS.

BREE TANNER CAN BARELY REMEMBER LIFE before she had uncannily powerful senses, superhuman reflexes, and unstoppable physical strength. Life before she had a relentless thirst for blood... FANS OF THE TWILIGHT SAGA WILL BE ENTHRALLED BY THIS RIVETING STORY OF BREE TANNER, A CHARACTER FIRST INTRODUCED IN ECLIPSE, AND THE DARKER SIDE OF THE NEWBORN VAMPIRE WORLD SHE INHABITS.

BREE TANNER CAN BARELY REMEMBER LIFE before she had uncannily powerful senses, superhuman reflexes, and unstoppable physical strength. Life before she had a relentless thirst for blood... life before she became a vampire.

ALL BREE KNOWS IS THAT LIVING WITH HER fellow newborns has few certainties and even fewer rules: watch your back, don't draw attention to yourself, and above all, make it home by sunrise or die. What she doesn't know: her time as an immortal is quickly running out.

THEN BREE FINDS AN UNEXPECTED FRIEND in Diego, a newborn just as curious as Bree about their mysterious creator, whom they only know as her. As they come to realize that the newborns are pawns in a game larger than anything they could have imagined, Bree and Diego must choose sides and decide whom to trust. But when everything you know about vampires is based on a lie, how do you find the truth?

IN ANOTHER IRRESISTIBLE COMBINATION of danger, mystery, and romance, Stephenie Meyer tells the devastating story of the newborn army as they prepare to close in on Bella Swan and the Cullens, following their encounter to its unforgettable conclusion.",young-adult
21,The Catcher in the Rye,J.D. Salinger,3.81,"3,001,691","64,827",277,2,"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comme The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep.

J.D. Salinger's classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.",classics
22,,,NA,NA,NA,NA,0,,NA
23,"Deliver Us from Evil: Defeating Terrorism, Despotism, and Liberalism",Sean Hannity,3.41,"1,207",57,NA,0,"Nearly three years have passed since that tragic day in September. Since then, our wounds have healed, but our senses and memories have dulled.

At first, the nation rallied behind its leader. But by the time the confrontation with Iraq presented itself, our courage and moral certainty seemed to fade in the face of partisan bickering and posturing.

Now the political left and Nearly three years have passed since that tragic day in September. Since then, our wounds have healed, but our senses and memories have dulled.

At first, the nation rallied behind its leader. But by the time the confrontation with Iraq presented itself, our courage and moral certainty seemed to fade in the face of partisan bickering and posturing.

Now the political left and the Democratic Party are trying to use the demanding aftermath of the war to exploit our national cause for their own political advantage.

How could we allow ourselves to forget so soon?

--from Deliver Us from Evil

Sean Hannity's first blockbuster book, the New York Times bestseller Let Freedom Ring, cemented his place as the freshest and most compelling conservative voice in the country. As the host of the phenomenally successful Hannity & Colmes on the Fox News Channel and The Sean Hannity Show on ABC Radio, Hannity has won a wildly devoted fan base. Now he brings his plainspoken, take-no-prisoners style to the continuing War on Terror abroad -- and liberalism at home -- in Deliver Us from Evil.

""Evil exists,"" Hannity asserts. ""It is real, and it means to harm us."" And in these pages he revisits the harsh lessons America has learned in confronting evil in the past and the present, to illuminate the course we must take in the future. Tracing a direct line from Adolf Hitler and Joseph Stalin through Saddam Hussein and Osama bin Laden, he reminds us of the courage and moral clarity of our great leaders. And he reveals how the disgraceful history of appeasement has reached forward from the days of Neville Chamberlain and Jimmy Carter to corrupt the unrepentant leftists of the modern Democratic Party -- from Howard Dean and John Kerry to Bill and Hillary Clinton.

As Americans face the ongoing war against terrorists and their state sponsors around the world, Sean Hannity reminds us that we must also cope with the continuing scourge of accommodation and cowardice at home. With his trademark blend of passion and hard-hitting commentary, he urges Americans to recognize the dangers of putting our faith in toothless ""multilateralism"" when the times call for decisive action. For only through strong defense of our freedoms, at home and around the world, can we preserve America's security and liberty in the dangerous twenty-first century.",politics
24,The Golden Compass,Philip Pullman,it,"1,386,269","24,497",839,4,"Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.

Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.

Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and as fierce and true a champion as Roger or Asriel could want--but what Lyra doesn't know is that to help one of them will be to betray the other.",fantasy
