,Title,Author,Average Rating,No of ratings,No of reviews,No of pages,No of awards,summary,Genre
0,"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,4.50,"68,918","8,478",626,0,"From the best-selling author of Americanah and We Should All Be Feminists comes a powerful new statement about feminism today--written as a letter to a friend.

A few years ago, Chimamanda Ngozi Adichie received a letter from a dear friend from childhood, asking her how to raise her baby girl as a feminist. Dear Ijeawele is Adichie's letter of response.

Here are fifteen inva From the best-selling author of Americanah and We Should All Be Feminists comes a powerful new statement about feminism today--written as a letter to a friend.

A few years ago, Chimamanda Ngozi Adichie received a letter from a dear friend from childhood, asking her how to raise her baby girl as a feminist. Dear Ijeawele is Adichie's letter of response.

Here are fifteen invaluable suggestions--compelling, direct, wryly funny, and perceptive--for how to empower a daughter to become a strong, independent woman. From encouraging her to choose a helicopter, and not only a doll, as a toy if she so desires; having open conversations with her about clothes, makeup, and sexuality; debunking the myth that women are somehow biologically arranged to be in the kitchen making dinner, and that men can ""allow"" women to have full careers, Dear Ijeawele goes right to the heart of sexual politics in the twenty-first century. It will start a new and urgently needed conversation about what it really means to be a woman today.",non-fiction
1,Fury & Light,Chris Stewart,4.33,"3,817",356,NA,0,"The world waits in suspense as America struggles to survive following the attack on Washington, D.C., but who remains to run the government? Who will make the world-changing decisions that must be made? As King Abdullah prepares for the final attack that will bring America to its knees, the characters are trapped in a desperate fight for their lives. Sara Brighton and her The world waits in suspense as America struggles to survive following the attack on Washington, D.C., but who remains to run the government? Who will make the world-changing decisions that must be made? As King Abdullah prepares for the final attack that will bring America to its knees, the characters are trapped in a desperate fight for their lives. Sara Brighton and her sons, Luke and Ammon, head west in a doomed attempt to reach Salt Lake City. Sam returns to the States in anticipation of a U. S. retaliatory strike, but finds his home abandoned, with no trace of his family there. In Chicago, Azadeh Pahlavi meets her adopted mother and little sister, who are enmeshed in their own crisis with life-or-death consequences. The end is near now.",lds
2,Spells,Aprilynne Pike,3.98,"40,039","2,015",359,0,"""I can't just storm in and proclaim my intentions. I can't 'steal' you away. I just have to wait and hope that, someday, you'll ask,"" Tamani said.

""And if I don't?"" Laurel said, her voice barely above a whisper.

""Then I guess I'll be waiting forever.""

Although Laurel has come to accept her true identity as a faerie, she refuses to turn her back on her human life - and especia ""I can't just storm in and proclaim my intentions. I can't 'steal' you away. I just have to wait and hope that, someday, you'll ask,"" Tamani said.

""And if I don't?"" Laurel said, her voice barely above a whisper.

""Then I guess I'll be waiting forever.""

Although Laurel has come to accept her true identity as a faerie, she refuses to turn her back on her human life - and especially her boyfriend, David - to return to the faerie world.

But when she is summoned to Avalon, Laurel's feelings for the charismatic faerie sentry Tamani are undeniable. She is forced to make a choice - a choice that could break her heart.",fantasy
3,The Novice,Trudi Canavan,4.04,"58,072","1,508",776,0,"""Even if a magician's powers surface of their own accord, he will soon be dead if he does not gain the knowledge of how to control them."" Alone among all the novices in the Magicians' Guild, only Sonea comes from lowly beginnings. Yet she has won powerful alliesâincluding Lord Dannyl, newly promoted to Guild Ambassador. But Dannyl must now depart for the Elyne court, leavi ""Even if a magician's powers surface of their own accord, he will soon be dead if he does not gain the knowledge of how to control them."" Alone among all the novices in the Magicians' Guild, only Sonea comes from lowly beginnings. Yet she has won powerful alliesâincluding Lord Dannyl, newly promoted to Guild Ambassador. But Dannyl must now depart for the Elyne court, leaving Sonea at the mercy of the lies and malicious rumors her enemies are busy spreading ... until the High Lord Akkarin steps in. The price of Akkarin's support is dear, however, because Sonea, in turn, must protect his mysteries and a secret that could lead a young novice mage deep into the darkness. Meanwhile, Dannyl's first order to resume High Lord Akkarin's long abandoned research into ancient magical knowledge is setting him on an extraordinary journey fraught with unanticipated peril as he moves ever-closer to a future both wondrous ... and terrible.",fantasy
4,,,NA,NA,NA,NA,0,,NA
5,Beautiful Redemption,Kami Garcia Margaret Stohl,3.91,"69,611","4,355",Brown,0,"Is death the end . . . or only the beginning?

Ethan Wate has spent most of his life longing to escape the stiflingly small Southern town of Gatlin. He never thought he would meet the girl of his dreams, Lena Duchannes, who unveiled a secretive, powerful, and cursed side of Gatlin, hidden in plain sight. And he never could have expected that he would be forced to leave behin Is death the end . . . or only the beginning?

Ethan Wate has spent most of his life longing to escape the stiflingly small Southern town of Gatlin. He never thought he would meet the girl of his dreams, Lena Duchannes, who unveiled a secretive, powerful, and cursed side of Gatlin, hidden in plain sight. And he never could have expected that he would be forced to leave behind everyone and everything he cares about. So when Ethan awakes after the chilling events of the Eighteenth Moon, he has only one goal: to find a way to return to Lena and the ones he loves.

Back in Gatlin, Lena is making her own bargains for Ethan's return, vowing to do whatever it takes -- even if that means trusting old enemies or risking the lives of the family and friends Ethan left to protect.

Worlds apart, Ethan and Lena must once again work together to rewrite their fate, in this stunning finale to the Beautiful Creatures series.",fantasy
6,The Shadowhunter's Codex,Cassandra Clare Joshua Lewis,3.95,"32,388","2,355",478,0,"The Clave is pleased to announce the newest edition of the Nephilimâs oldest and most famous training manual: the Shadowhunterâs Codex. Since the thirteenth century, the Codex has been the young Shadowhunterâs best friend. When youâre being swarmed by demons it can be easy to forget the finer points of obscure demon languages or the fastest way to stop an attack of Raum de The Clave is pleased to announce the newest edition of the Nephilimâs oldest and most famous training manual: the Shadowhunterâs Codex. Since the thirteenth century, the Codex has been the young Shadowhunterâs best friend. When youâre being swarmed by demons it can be easy to forget the finer points of obscure demon languages or the fastest way to stop an attack of Raum demons. With the Codex by your side, you never have to worry.

Now in its twenty-seventh edition, the Codex covers it all: the history and the laws of our world; how to identify, interact with, and if necessary, kill that worldâs many colorful denizens; which end of the stele is the end you write with. No more will your attempt to fight off rogue vampires and warlocks be slowed by the need to answer endless questions from your new recruits: What is a Pyxis? Why donât we use guns? If I canât see a warlockâs mark, is there a polite way to ask him where it is? Where do we get all our holy water? Geography, History, Magic, and Zoology textbook all rolled into one, the Codex is here to help new Shadowhunters navigate the beautiful, often brutal world that we inhabit.

Do not let it be said that the Clave is outdated or, as the younger Shadowhunters say, âuncoolâ: this new edition of the Codex will be available not only in the usual magically-sealed demonskin binding, but also in a smart, modern edition using all of todayâs most exciting printing techniques, including such new features as a sturdy clothbound cover, a protective dust jacket, and information about title, author, publisher, and so on conveniently available right on the cover. Youâll be pleased to know that it fits neatly into most satchels, and unlike previous editions, it rarely sets off alarm wards.

The old woodcuts and engravings have been replaced as well: instead, youâll find lavish modern illustrations by some of the brightest luminaries of the fantastic. Creatures, weapons, people, and places have been carefully and accurately rendered by the likes of Rebecca Guay, Charles Vess, Jim Nelson, Theo Black, Elisabeth Alba, and Cassandra Jean. Chapters are beautifully introduced by the drawings of Michael Kaluta, and along with our condensation of the classic 2,450-page tome, A History of the Nephilim, you will find a selection of the best of the lovely illustrations of that volume by John Dollar.

This edition of the Codex will be available in Institute libraries and what mundanes sometimes call âbook storesâ in October 2013.",fantasy
7,The Summer I Turned Pretty,Jenny Han,3.90,"188,570","13,660",437,0,"Belly measures her life in summers. Everything good, everything magical happens between the months of June and August. Winters are simply a time to count the weeks until the next summer, a place away from the beach house, away from Susannah, and most importantly, away from Jeremiah and Conrad. They are the boys that Belly has known since her very first summerâthey have bee Belly measures her life in summers. Everything good, everything magical happens between the months of June and August. Winters are simply a time to count the weeks until the next summer, a place away from the beach house, away from Susannah, and most importantly, away from Jeremiah and Conrad. They are the boys that Belly has known since her very first summerâthey have been her brother figures, her crushes, and everything in between. But one summer, one terrible and wonderful summer, the more everything changes, the more it all ends up just the way it should have been all along.",young-adult
8,Stamped from the Beginning: The Definitive History of Racist Ideas in America,Ibram X. Kendi,4.52,"29,853","4,379",153,4,"In this deeply researched and fast-moving narrative, Kendi chronicles the entire story of antiâBlack racist ideas and their staggering power over the course of American history. Stamped from the Beginning uses the lives of five major American intellectuals to offer a window into the contentious debates between assimilationists and segregationists and between racists and an In this deeply researched and fast-moving narrative, Kendi chronicles the entire story of antiâBlack racist ideas and their staggering power over the course of American history. Stamped from the Beginning uses the lives of five major American intellectuals to offer a window into the contentious debates between assimilationists and segregationists and between racists and anti-racists. From Puritan minister Cotton Mather to Thomas Jefferson, from fiery abolitionist William Lloyd Garrison to brilliant scholar W. E. B. Du Bois to legendary antiâprison activist Angela Davis, Kendi shows how and why some of our leading pro-slavery and proâcivil rights thinkers have challenged or helped cement racist ideas in America.

As Kendi illustrates, racist thinking did not arise from ignorance or hatred. Racist ideas were created and popularized in an effort to defend deeply entrenched discriminatory policies and to rationalize the nationâs racial inequities in everything from wealth to health. While racist ideas are easily produced and easily consumed, they can also be discredited. In shedding muchâneeded light on the murky history of racist ideas, Stamped from the Beginning offers tools to expose themâand in the process, reason to hope.",non-fiction
9,Baghdad Burning: Girl Blog from Iraq,Riverbend Alia Mamdouh James Ridgeway,4.11,"1,043",114,720,0,"""In August 2003 a young Iraqi blogger began reporting her experiences as a civilian observer in Baghdad. Calling herself Riverbend, she has offered searing eyewitness accounts of daily life in the war zone and has garnered a worldwide audience hungry for unfiltered news and fresh analysis."" ""Riverbend's blog, Baghdad Burning, collected here for the first time, responds to ""In August 2003 a young Iraqi blogger began reporting her experiences as a civilian observer in Baghdad. Calling herself Riverbend, she has offered searing eyewitness accounts of daily life in the war zone and has garnered a worldwide audience hungry for unfiltered news and fresh analysis."" ""Riverbend's blog, Baghdad Burning, collected here for the first time, responds to events both personal and political - from the impact on her family of the invasion's aftermath to the Abu Ghraib prison abuses. She reveals for us most sharply the fate of Iraqi women, whose rights and freedoms are falling victim to rising fundamentalisms."" Describing the reality of regime change in Iraq in a voice at turns outraged, witty, and deeply moving, Riverbend is a witness to the recent events that are shaping the future of her homeland.",non-fiction
