,Title,Author,Average Rating,No of ratings,No of reviews,No of pages,No of awards,summary,Genre
10,,,NA,NA,NA,NA,0,,NA
11,Birds Without Wings,Louis de BerniÃ¨res,4.14,"13,565","1,378",701,0,"In his first novel since Corelliâs Mandolin, Louis de BerniÃ¨res creates a world, populates it with characters as real as our best friends, and launches it into the maelstrom of twentieth-century history. The setting is a small village in southwestern Anatolia in the waning years of the Ottoman Empire. Everyone there speaks Turkish, though they write it in Greek letters. It In his first novel since Corelliâs Mandolin, Louis de BerniÃ¨res creates a world, populates it with characters as real as our best friends, and launches it into the maelstrom of twentieth-century history. The setting is a small village in southwestern Anatolia in the waning years of the Ottoman Empire. Everyone there speaks Turkish, though they write it in Greek letters. Itâs a place that has room for a professional blasphemer; where a brokenhearted aga finds solace in the arms of a Circassian courtesan who isnât Circassian at all; where a beautiful Christian girl named Philothei is engaged to a Muslim boy named Ibrahim. But all of this will change when Turkey enters the modern world. Epic in sweep, intoxicating in its sensual detail, Birds Without Wings is an enchantment.",historical
12,,,NA,NA,NA,NA,0,,NA
13,Revenge of the Wolf,Wyatt Michael,3.80,20,7,"2014

75",0,"For Police Commissioner Morton Howe it was always business as usual in London, England. He and his team of detectives were quite accustomed to the evils of men with their sins of violence, love for money, and lust. His occupation brought all types and his precinct handled anything, but in 1841, at age 42, things would turn out to be much different. A gruesome triple murder For Police Commissioner Morton Howe it was always business as usual in London, England. He and his team of detectives were quite accustomed to the evils of men with their sins of violence, love for money, and lust. His occupation brought all types and his precinct handled anything, but in 1841, at age 42, things would turn out to be much different. A gruesome triple murder at a farmhouse in a neighboring borough by some monstrous diabolical beast evokes fear in the people that live there. When a London university professor of science goes missing, a search of his property reveals a laboratory containing a mysterious dark iron cage. A rumor went privately among the detectives that he had been housing a large black wolf, the type of creature a zoologist reported it could be by the mutilating bite marks upon the flesh of recovered livestock. One by one, Commissioner Howe is witness to crime scenes of murder wherein the victims are persons he is secretly tied to as if the bloodthirsty killer is working his way down a list. No one else suspects he greatly fears that whoever or whatever is responsible will be coming for him.

An opium addict drowning in the brothels of the night, a violent prisoner released after abusing his wife and child, a turncoat blacksmith who kills for greed, a good family man raising seven children on a farm far from civilization, a police commissioner frantically working the cases to protect his life and position, and an unknown and unforgiving traveler with a dark secret will all be fatefully led together down a terrifying path of nightmares, retribution, and death.

Revenge of the Wolf is a tale of one man's struggle to forgive and to be forgiven when hatred is given unrestrained and unquenchable power.",NA
14,The Golden Age,John C. Wright,4.07,"3,136",205,676,2,"The Golden Age is 10,000 years in the future in our solar system, an interplanetary utopian society filled with immortal humans.

Phaethon, of Radamanthus House, is attending a glorious party at his family mansion celebrating the thousand-year anniversary of the High Transcendence. There he meets an old man who accuses him of being an imposter, and then a being from Neptune The Golden Age is 10,000 years in the future in our solar system, an interplanetary utopian society filled with immortal humans.

Phaethon, of Radamanthus House, is attending a glorious party at his family mansion celebrating the thousand-year anniversary of the High Transcendence. There he meets an old man who accuses him of being an imposter, and then a being from Neptune who claims to be an old friend. The Neptunian tells him that essential parts of his memory were removed and stored by the very government that Phaethon believes to be wholly honorable. It shakes his faith. Is he indeed an exile from himself? He can't resist investigating, even though to do so could mean the loss of his inheritance, his very place in society. His quest must be to regain his true identity and fulfill the destiny he chose for himself.

The Golden Age is just the beginning of Phaethon's story, which will continue in The Phoenix Exultant, forthcoming from Tor.",science-fiction
15,Ann Marie's Asylum,Christopher Rankin,3.43,128,9,520,0,"Ann Marie has just earned her Ph.D. in chemistry at age sixteen when she receives a mysterious and lucrative job offer. The new position at the infamous Asylum Corporation takes the young chemist and her alcoholic mother from their working-class Philadelphia neighborhood to coastal California. She grows fascinated with her new boss, famed Dade Harkenrider, a handsome but r Ann Marie has just earned her Ph.D. in chemistry at age sixteen when she receives a mysterious and lucrative job offer. The new position at the infamous Asylum Corporation takes the young chemist and her alcoholic mother from their working-class Philadelphia neighborhood to coastal California. She grows fascinated with her new boss, famed Dade Harkenrider, a handsome but reclusive scientist labelled Dr. Death by internet conspiracy theorists and rumored to be involved in witchcraft and murder. A young pioneer in drone warfare and mind-control drugs, Harkenrider conducts secret experiments that defy the boundaries of space and consciousness in an advanced laboratory in the hills perched over Los Angeles. As Ann Marie grows closer to her new mentor, a sinister plot by a secretive coven is unfolding in the city. This monstrous force is stealing pets and children in an effort to breathe life into an ancient and terrifying evil.",horror
16,,,NA,NA,NA,NA,0,,NA
17,Atlas,Benjamin R. Smith,3.89,"1,169",13,378,0,"Inspector Victoria Rhodes works long hours as one of the last clean cops on San Franciscoâs crumbling police force. When a double murder claims the life of a city prosecutor in the exclusive covenant community of Atlantis, Rhodes is assigned as liaison between the SFPD investigation and the investigation run by the private security force known as the ASM.

Public Prosecutor Inspector Victoria Rhodes works long hours as one of the last clean cops on San Franciscoâs crumbling police force. When a double murder claims the life of a city prosecutor in the exclusive covenant community of Atlantis, Rhodes is assigned as liaison between the SFPD investigation and the investigation run by the private security force known as the ASM.

Public Prosecutor Katherine Radcliffe was the face of local politics, fighting to resurrect the fallen city of San Francisco by bridging the gap between the private wealth of Atlantis and the forgotten populace of the public sector. Found in the arms of her ex-sensual companion turned corporate psychologist lover, her death resonates with Rhodes and the people of San Francisco on a personal level.

With tensions building between the classes and evidence mounting, Rhodes finds herself delving into the past of the man at the top of the ASM corporate ladder, an inexplicable mercenary turned upper-class messiah , known as Atlas.

When she discovers that his past remarkably resembles her own , she canât help but force a confrontation that brings her face to face with a man she cannot understand, a suspect she knows she has to pursue, and a truth she knows she may not want to uncover.",science-fiction
18,Prime Deception,Carys Jones,3.29,102,69,304,0,"When Lorna Thomas is found dead in her car everyone believes she killed herself. But the day after her death Lorna was set to sell a scandalous story to one of Britainâs biggest tabloid papers. For six months she had been the Deputy Prime Ministerâs mistress.

Will Lornaâs secret die with her? While her family try to move on and come to terms with her death one person refuse When Lorna Thomas is found dead in her car everyone believes she killed herself. But the day after her death Lorna was set to sell a scandalous story to one of Britainâs biggest tabloid papers. For six months she had been the Deputy Prime Ministerâs mistress.

Will Lornaâs secret die with her? While her family try to move on and come to terms with her death one person refuses to believe that Lorna killed herself. Her twin sister, Laurie is convinced that Lorna was murdered and sheâll stop at nothing to prove it, even if that means teaming up the very man her sister had been having an affair withâ¦",mystery
19,Io uccido,Giorgio Faletti,3.95,"9,484",505,NA,0,"Un dee-jay di Radio Monte Carlo riceve, durante la sua trasmissione notturna, una telefonata delirante. Uno sconosciuto, dalla voce artefatta, rivela di essere un assassino. Il fatto viene archiviato come uno scherzo di pessimo gusto. Il giorno dopo un pilota di Formula Uno e la sua compagna vengono trovati morti ed orrendamente mutilati sulla loro barca.
Inizia una serie d Un dee-jay di Radio Monte Carlo riceve, durante la sua trasmissione notturna, una telefonata delirante. Uno sconosciuto, dalla voce artefatta, rivela di essere un assassino. Il fatto viene archiviato come uno scherzo di pessimo gusto. Il giorno dopo un pilota di Formula Uno e la sua compagna vengono trovati morti ed orrendamente mutilati sulla loro barca.
Inizia una serie di delitti, preceduti ogni volta da una telefonata con un indizio sulla prossima vittima ed ogni volta sottolineati da una scritta tracciata col sangue, che Ã¨ nello stesso tempo una firma e una provocazione: Io uccidoâ¦
Per Frank Ottobre, agente dellâFBI, e Nicolas Hulot, commissario della SÃ»retÃ© Publique, inizia la caccia ad un fantasma inafferrabile. Alle loro spalle una serie di rivelazioni che portano poco per volta a sospettare che, di tutti, il meno colpevole sia forse proprio lui, lâassassino. Di fronte a loro un agghiacciante dato statistico. Non câÃ¨ mai stato un serial-killer nel Principato di Monaco. Adesso câÃ¨.",thriller
20,Love's Bitter Splendor,Sylvester Murray,4.10,20,13,NA,0,"Catherine Gideon and Karl Batali fell in love; they viewed their lives as endless, filled with joy and splendor. But since Karl's untimely death, Catherine had never felt so alone and sad. Then the mysterious Mark Joshin comes into her life.... Catherine Gideon and Karl Batali fell in love; they viewed their lives as endless, filled with joy and splendor. But since Karl's untimely death, Catherine had never felt so alone and sad. Then the mysterious Mark Joshin comes into her life....",NA
21,"The Character of Nations: How Politics Makes and Breaks Prosperity, Family, and Civility",Angelo M. Codevilla,4.26,47,7,NA,0,"In this cross-cultural study, Angelo M. Codevilla illustrates that as people shape their governments, they shape themselves. Drawing broadly from the depths of history, from the Roman republic to de Tocqueville's America, as well as from personal and scholarly observations of the world in the twentieth century, The Character of Nations reveals remarkable truths about the e In this cross-cultural study, Angelo M. Codevilla illustrates that as people shape their governments, they shape themselves. Drawing broadly from the depths of history, from the Roman republic to de Tocqueville's America, as well as from personal and scholarly observations of the world in the twentieth century, The Character of Nations reveals remarkable truths about the effects of government on a society's economic arrangements, moral order, sense of family life, and ability to defend itself.Codevilla argues that in present-day America, government has had a profound negative effect on societal norms. It has taught people to seek prosperity through connections with political power; it has fostered the atrophy of civic responsibility; it has waged a Kulturkampf against family and religion; and it has dug a dangerous chasm between those who serve in the military and those who send it in harm's way. Informative and provocative, The Character of Nations shows how the political decisions we make have higher stakes than simply who wins elections.",politics
22,,,NA,NA,NA,NA,0,,NA
23,Rise Up and Salute the Sun: The Writings of Suzy Kassem,Suzy Kassem,4.15,176,35,111,0,"""Suzy Kassem is an American writer, poet, philosopher, and artist of Egyptian origin. The granddaughter of a respected sage in 19th century Cairo, mysticism and wisdom run through her blood just as the water of the Nile flows through her veins.""--P. [4] of cover. ""Suzy Kassem is an American writer, poet, philosopher, and artist of Egyptian origin. The granddaughter of a respected sage in 19th century Cairo, mysticism and wisdom run through her blood just as the water of the Nile flows through her veins.""--P. [4] of cover.",poetry
24,,,NA,NA,NA,NA,0,,NA
25,Learning to Kiss in the Snow,D.B. Tarpley,3.96,57,0,273,0,"The Master of the Bizarre is back with his second collection of odd and disturbing tales. These tales will titillate. These tales will activate. These tales will renovate. But most importantly they will satiate your soul. Ranging from horror to dark comedy to action to science fiction to yes dear lord reader even erotica - Learning to Kiss in the Snow will grab you by the The Master of the Bizarre is back with his second collection of odd and disturbing tales. These tales will titillate. These tales will activate. These tales will renovate. But most importantly they will satiate your soul. Ranging from horror to dark comedy to action to science fiction to yes dear lord reader even erotica - Learning to Kiss in the Snow will grab you by the short and curlies and never let you go.

- A man desperately in love must find a way to break his connection with his girlfriend before it kills him.
- Getting the nymphomaniac of your dreams just might be more than you can handle.
- A new fish tries to survive a night in the clink without getting raped... that is if the thing in the toilet doesn't get him first.

All in all 17 new scintillating and salacious tales to sooth your battered and chapped brain. D.B.Tarpley is back and he has done it again! The pages have definitely been left bloody.",horror
26,Psych Yourself Thin: Train your mind to stick to ANY diet for as long as YOU decide to,Rok Sprogar,amazing,6,0,NA,0,"Weight loss would be so incredibly easy, if only it weren't for those damn food cravings!

You really want to make some changes. You are serious about your commitments. But no matter how you restrict your diet, the desire to return to your old ways just wonât go away.

Then, your natural instincts kick in.

You try to fight these urges for your favorite foods. You desperat Weight loss would be so incredibly easy, if only it weren't for those damn food cravings!

You really want to make some changes. You are serious about your commitments. But no matter how you restrict your diet, the desire to return to your old ways just wonât go away.

Then, your natural instincts kick in.

You try to fight these urges for your favorite foods. You desperately want to get rid of these thoughts. You just want to stop thinking about food all the time!

But it doesn't work. No matter how much you try to fight it, at the end of the day you simply lack the motivation, willpower, and self-discipline to get lasting results.

Now answer this.

Whatâs the difference between you and the guy who ran a marathon every day for 30 days in a row?

In a single word, training.

Yes, proper training makes the difference between barely making it out of a marathon alive, and being able to comfortably run it for 30 days in a row. The exact same thing is true with dieting.

This book won't teach you how to train your muscles. This book will teach you how to use powerful psychology to make any kind of changes to your diet. It will teach you how to stick to them for as long as YOU decide to.

You will not only learn how to deal with cravings. You will learn to eliminate them, to destroy them completely.

You will not only be able to survive a weight loss diet. You will be able to make it through without any of the usual struggles involved.

Weight loss is easy. But until you learn how to properly prepare your mind for it, I can guarantee you will continue to struggle.",NA
27,,,NA,NA,NA,NA,0,,NA
28,,,NA,NA,NA,NA,0,,NA
29,The Hungry Wolves of Van Diemen's Land,Paul Christensen,3.90,51,8,NA,0,"The Baby Boomer generation (known as 68ers in Europe) pulled out all stops when it came to rebelling against their elders, but were treated with kid gloves by the 'pig system' they affected to overthrow. What would happen, though, if a new generation decided to rebel against ""them?"" That's exactly what occurs when a group of young Tasmanians embark on an extended campaign The Baby Boomer generation (known as 68ers in Europe) pulled out all stops when it came to rebelling against their elders, but were treated with kid gloves by the 'pig system' they affected to overthrow. What would happen, though, if a new generation decided to rebel against ""them?"" That's exactly what occurs when a group of young Tasmanians embark on an extended campaign of subversion, exposing the many hypocrisies of the Boomer establishment...

""The Hungry Wolves of Van Diemen's Land"" is a satire that works on a number of levels. It is a book desperately needed by the Zeitgeist of this pivotal era...if you read only one novel this decade, you had better make it this one.",fiction
30,The Reagan Casualties: Overseas Atrocities of the Great Communicator,Jacob T. Klezaras,4.11,27,1,094,0,"In his 1985 State of the Union address, President Reagan famously proclaimed, ""Freedom is not the sole prerogative of a chosen few; it is the universal right of all God's children."" Despite this bold declaration, Reaganâs actions proved detrimental to the cause of human freedom all over the world. In this short but compelling polemic, Hurn examines The Gipperâs record abro In his 1985 State of the Union address, President Reagan famously proclaimed, ""Freedom is not the sole prerogative of a chosen few; it is the universal right of all God's children."" Despite this bold declaration, Reaganâs actions proved detrimental to the cause of human freedom all over the world. In this short but compelling polemic, Hurn examines The Gipperâs record abroad from a perspective of human rights, shining light on his administrationâs wrongdoings from Haiti to Iraq to Western Africa.
The book not only calls into question the greatness of Reagan's foreign policy, it asserts definitively that millions of people suffered because of it. Exploring a series of rarely publicized issues, President Reagan, the facilitator of genocide, the sponsor of terrorism, the abettor of death squads and steadfast ally of despots and warlords far and wide is summarily exposed â and the myth of Ronald Reagan as a crusader for global liberty is expertly laid to rest.",history
31,Arts & Entertainments,Christopher R. Beha,3.19,925,145,NA,0,"Christopher Beha delivers a cutting send-up of our cultural obsession with celebrityâa deliciously witty, and ultimately tender, novel about the absurdity of fame and the complexity of love sure to appeal to fans of Maria Semple and Jess Walter.

A sharp-edged satire with heart, Arts & Entertainments is the story of Handsome Eddie Hartley who, at thirty-three, has forgone dr Christopher Beha delivers a cutting send-up of our cultural obsession with celebrityâa deliciously witty, and ultimately tender, novel about the absurdity of fame and the complexity of love sure to appeal to fans of Maria Semple and Jess Walter.

A sharp-edged satire with heart, Arts & Entertainments is the story of Handsome Eddie Hartley who, at thirty-three, has forgone dreams of an acting career for the reality of life as a drama teacher at a boysâ prep school. But when Eddie and his wife, Susan, discover they cannot have children, it is one disappointment too many.

Weighted down with debt, his wifeâs mounting unhappiness, and his own deepening sense of failure, Eddie is confronted with an alluring solution when an old friend-turned-web-impresario suggests Eddie sell a sex tape he made with an ex-girlfriend, now a wildly popular television star. Overcoming his initial moral qualms, Eddie figures that in an era when any publicity is good publicity, the tape wonât cause any harmâa decision that will have disastrous consequences and propel him straight into the glaring spotlight he once thought he craved.

A hilariously biting and incisive take-down of our cultureâs monstrous obsession with fame, Arts & Entertainments is also a poignant and humane portrait of a young manâs belated coming-of-age, the complications of love, and the surprising ways in which the most meaningful lives often turn out to be the ones we least expected to lead.",fiction
