,Title,Author,Average Rating,No of ratings,No of reviews,No of pages,No of awards,summary,Genre
0,The Storyteller,Jodi Picoult,4.25,"190,210","17,530",671,1,"Some stories live forever . . .

Sage Singer is a baker. She works through the night, preparing the dayâs breads and pastries, trying to escape a reality of loneliness, bad memories, and the shadow of her motherâs death. When Josef Weber, an elderly man in Sageâs grief support group, begins stopping by the bakery, they strike up an unlikely friendship. Despite their differen Some stories live forever . . .

Sage Singer is a baker. She works through the night, preparing the dayâs breads and pastries, trying to escape a reality of loneliness, bad memories, and the shadow of her motherâs death. When Josef Weber, an elderly man in Sageâs grief support group, begins stopping by the bakery, they strike up an unlikely friendship. Despite their differences, they see in each other the hidden scars that others canât, and they become companions.

Everything changes on the day that Josef confesses a long-buried and shameful secretâone that nobody else in town would ever suspectâand asks Sage for an extraordinary favor. If she says yes, she faces not only moral repercussions, but potentially legal ones as well. With her own identity suddenly challenged, and the integrity of the closest friend sheâs ever had clouded, Sage begins to question the assumptions and expectations sheâs made about her life and her family. When does a moral choice become a moral imperative? And where does one draw the line between punishment and justice, forgiveness and mercy?

In this searingly honest novel, Jodi Picoult gracefully explores the lengths we will go in order to protect our families and to keep the past from dictating the future",fiction
1,Altered Carbon,Richard K. Morgan,4.04,"96,490","6,286",719,5,"It's the twenty-fifth century, and advances in technology have redefined life itself. A person's consciousness can now be stored in the brain and downloaded into a new body (or ""sleeve""), making death nothing more than a minor blip on a screen. Onetime U.N. Envoy Takeshi Kovacs has been killed before, but his last death was particularly painful. Resleeved into a body in Ba It's the twenty-fifth century, and advances in technology have redefined life itself. A person's consciousness can now be stored in the brain and downloaded into a new body (or ""sleeve""), making death nothing more than a minor blip on a screen. Onetime U.N. Envoy Takeshi Kovacs has been killed before, but his last death was particularly painful. Resleeved into a body in Bay City (formerly San Francisco), Kovacs is thrown into the dark heart of a shady, far-reaching conspiracy that is vicious even by the standards of a society that treats existence as something that can be bought and sold. For Kovacs, the shell that blew a hole in his chest was only the beginning.",science-fiction
2,,,NA,NA,NA,NA,0,,NA
3,Next,Michael Crichton,3.55,"72,477","3,294",365,0,"Welcome to our genetic world.
Fast, furious, and out of control.
This is not the world of the future --- it's the world right now.
Is a loved one missing some body parts? Are blondes becoming extinct? Is everyone at your dinner table of the same species? Humans and chimpanzees differ in only 400 genes; is that why an adult human being resembles a chimp fetus? And should that Welcome to our genetic world.
Fast, furious, and out of control.
This is not the world of the future --- it's the world right now.
Is a loved one missing some body parts? Are blondes becoming extinct? Is everyone at your dinner table of the same species? Humans and chimpanzees differ in only 400 genes; is that why an adult human being resembles a chimp fetus? And should that worry us? There's a new genetic cure for drug addiction --- is it worse than the disease?
We live in a time of momentous scientific leaps; a time when it's possible to sell our eggs and sperm online for thousands of dollars; test our spouses for genetic maladies and even frame someone for a genetic crime.
We live in a time when one fifth of all our genes are owned by someone else, and an unsuspecting person and his family can be pursued cross-country because they happen to have certain valuable genes within their chromosomes ...
Devilishly clever, Next blends fact and fiction into a breathless tale of a new world where nothing is what it seems, and a set of new possibilities can open at every turn. Next challenges our sense of reality and notions of morality. Balancing the comic and bizarre with the genuinely frightening and disturbing, Next shatters our assumptions, and reveals shocking new choices where we least expect.
The future is closer than you think. Get used to it.",fiction
4,The Weight of Silence,Heather Gudenkauf,3.94,"41,575","4,068",696,3,"It happens quietly one August morning. As dawn's shimmering light drenches the humid Iowa air, two families awaken to find their little girls have gone missing in the night.

Seven-year-old Calli Clark is sweet, gentle, a dreamer who suffers from selective mutism brought on by tragedy that pulled her deep into silence as a toddler.

Calli's mother, Antonia, tried to be the bes It happens quietly one August morning. As dawn's shimmering light drenches the humid Iowa air, two families awaken to find their little girls have gone missing in the night.

Seven-year-old Calli Clark is sweet, gentle, a dreamer who suffers from selective mutism brought on by tragedy that pulled her deep into silence as a toddler.

Calli's mother, Antonia, tried to be the best mother she could within the confines of marriage to a mostly absent, often angry husband. Now, though she denies that her husband could be involved in the possible abductions, she fears her decision to stay in her marriage has cost her more than her daughter's voice.

Petra Gregory is Calli's best friend, her soul mate and her voice. But neither Petra nor Calli has been heard from since their disappearance was discovered. Desperate to find his child, Martin Gregory is forced to confront a side of himself he did not know existed beneath his intellectual, professorial demeanor.

Now these families are tied by the question of what happened to their children. And the answer is trapped in the silence of unspoken family secrets.",fiction
5,The Magicians' Guild,Trudi Canavan,3.93,"80,125","2,907",777,0,"""We should expect this young woman to be more powerful than our average novice, possibly even more powerful than the average magician.""

This year, like every other, the magicians of Imardin gather to purge the city of undesirables. Cloaked in the protection of their sorcery, they move with no fear of the vagrants and miscreants who despise them and their work-âuntil one enr ""We should expect this young woman to be more powerful than our average novice, possibly even more powerful than the average magician.""

This year, like every other, the magicians of Imardin gather to purge the city of undesirables. Cloaked in the protection of their sorcery, they move with no fear of the vagrants and miscreants who despise them and their work-âuntil one enraged girl, barely more than a child, hurls a stone at the hated invaders...and effortlessly penetrates their magical shield.

What the Magicians' Guild has long dreaded has finally come to pass. There is someone outside their ranks who possesses a raw power beyond imagining, an untrained mage who must be found and schooled before she destroys herself and her city with a force she cannot yet control.",fantasy
6,Tell the Wolves I'm Home,Carol Rifka Brunt,4.02,"133,949","14,778",418,2,"In this striking literary debut, Carol Rifka Brunt unfolds a moving story of love, grief, and renewal as two lonely people become the unlikeliest of friends and find that sometimes you don't know you've lost someone until you've found them.

1987. There's only one person who has ever truly understood fourteen-year-old June Elbus, and that's her uncle, the renowned painter F In this striking literary debut, Carol Rifka Brunt unfolds a moving story of love, grief, and renewal as two lonely people become the unlikeliest of friends and find that sometimes you don't know you've lost someone until you've found them.

1987. There's only one person who has ever truly understood fourteen-year-old June Elbus, and that's her uncle, the renowned painter Finn Weiss. Shy at school and distant from her older sister, June can only be herself in Finn's company; he is her godfather, confidant, and best friend. So when he dies, far too young, of a mysterious illness her mother can barely speak about, June's world is turned upside down. But Finn's death brings a surprise acquaintance into June's lifeâsomeone who will help her to heal, and to question what she thinks she knows about Finn, her family, and even her own heart.

At Finn's funeral, June notices a strange man lingering just beyond the crowd. A few days later, she receives a package in the mail. Inside is a beautiful teapot she recognizes from Finn's apartment, and a note from Toby, the stranger, asking for an opportunity to meet. As the two begin to spend time together, June realizes she's not the only one who misses Finn, and if she can bring herself to trust this unexpected friend, he just might be the one she needs the most.

An emotionally charged coming-of-age novel, Tell the Wolves I'm Home is a tender story of love lost and found, an unforgettable portrait of the way compassion can make us whole again.",fiction
7,Beautiful Darkness,Kami Garcia Margaret Stohl,3.82,"134,622","7,107",Brown,1,"Fall under the spell of the Beautiful Darkness, the sequel to the instant NYT bestselling gothic fantasy, Beautiful Creatures!



There were no surprises in Gatlin County. At least, that's what I thought. Turns out, I couldn't have been more wrong.

Ethan Wate used to think of Gatlin as a place where nothing ever changed. Then mysterious newcomer Lena Duchannes revealed a se Fall under the spell of the Beautiful Darkness, the sequel to the instant NYT bestselling gothic fantasy, Beautiful Creatures!



There were no surprises in Gatlin County. At least, that's what I thought. Turns out, I couldn't have been more wrong.

Ethan Wate used to think of Gatlin as a place where nothing ever changed. Then mysterious newcomer Lena Duchannes revealed a secret world of curses and Supernaturals with terrifying abilities. Lena showed him a Gatlin where impossible, magical, life-altering events happen. Sometimes life-ending.

And now that Ethan's eyes have been opened to the darker side of Gatlin, there's no going back. Haunted by strange visions only he can see, Ethan is pulled deeper into his town's tangled history and finds himself caught up in the dangerous network of underground passageways endlessly crisscrossing the South, where nothing is as it seems.",young-adult
8,Switched,Amanda Hocking,3.87,"100,330","6,962",851,0,"When Wendy Everly was six-years-old, her mother was convinced she was a monster and tried to kill her. It isn't until eleven years later that Wendy finds out her mother might've been telling the truth. With the help of Finn Holmes, Wendy finds herself in a world she never knew existedâand it's one she's not sure if she wants to be a part of. When Wendy Everly was six-years-old, her mother was convinced she was a monster and tried to kill her. It isn't until eleven years later that Wendy finds out her mother might've been telling the truth. With the help of Finn Holmes, Wendy finds herself in a world she never knew existedâand it's one she's not sure if she wants to be a part of.",fantasy
9,His Excellency: George Washington,Joseph J. Ellis,3.91,"40,943","1,306",958,0,"To this landmark biography of our first president, Joseph J. Ellis brings the exacting scholarship, shrewd analysis, and lyric prose that have made him one of the premier historians of the Revolutionary era. Training his lens on a figure who sometimes seems as remote as his effigy on Mount Rushmore, Ellis assesses George Washington as a military and political leader and a To this landmark biography of our first president, Joseph J. Ellis brings the exacting scholarship, shrewd analysis, and lyric prose that have made him one of the premier historians of the Revolutionary era. Training his lens on a figure who sometimes seems as remote as his effigy on Mount Rushmore, Ellis assesses George Washington as a military and political leader and a man whose âstatue-like solidityâ concealed volcanic energies and emotions.

Here is the impetuous young officer whose miraculous survival in combat half-convinced him that he could not be killed. Here is the free-spending landowner whose debts to English merchants instilled him with a prickly resentment of imperial power. We see the general who lost more battles than he won and the reluctant president who tried to float above the partisan feuding of his cabinet. His Excellency is a magnificent work, indispensable to an understanding not only of its subject but also of the nation he brought into being.",history
